TimeStamp,Open,High,Low,Close,Volume,DataTime
1578096000000,7341.60,7400.00,7269.21,7350.71,92586.033,2020-01-04 08:00:00
1578182400000,7350.54,7495.00,7303.00,7354.36,117765.972,2020-01-05 08:00:00
1578268800000,7354.36,7808.65,7345.00,7757.39,168150.317,2020-01-06 08:00:00
1578355200000,7757.74,8215.33,7733.00,8152.49,280809.162,2020-01-07 08:00:00
1578441600000,8150.90,8468.42,7870.11,8059.84,321225.114,2020-01-08 08:00:00
1578528000000,8059.77,8060.00,7750.01,7818.59,187263.143,2020-01-09 08:00:00
1578614400000,7817.91,8210.62,7670.00,8207.09,253783.948,2020-01-10 08:00:00
1578700800000,8207.20,8292.19,8003.87,8020.56,164741.715,2020-01-11 08:00:00
1578787200000,8020.58,8195.00,7956.28,8186.70,108629.964,2020-01-12 08:00:00
1578873600000,8186.22,8200.00,8053.78,8113.00,74581.364,2020-01-13 08:00:00
1578960000000,8112.99,8893.00,8109.02,8825.00,290777.981,2020-01-14 08:00:00
1579046400000,8825.00,8921.20,8570.52,8825.30,237633.837,2020-01-15 08:00:00
1579132800000,8825.35,8868.21,8596.25,8725.08,167958.963,2020-01-16 08:00:00
1579219200000,8724.99,9039.00,8680.00,8918.72,205717.686,2020-01-17 08:00:00
1579305600000,8918.73,8995.00,8816.00,8925.00,114708.682,2020-01-18 08:00:00
1579392000000,8925.00,9205.30,8440.91,8705.85,225314.525,2020-01-19 08:00:00
1579478400000,8705.98,8750.37,8526.06,8650.00,125161.675,2020-01-20 08:00:00
1579564800000,8650.00,8790.10,8448.60,8742.43,107577.153,2020-01-21 08:00:00
1579651200000,8742.78,8820.00,8585.85,8684.57,94305.496,2020-01-22 08:00:00
1579737600000,8684.47,8694.00,8326.00,8409.60,163407.064,2020-01-23 08:00:00
1579824000000,8410.00,8528.00,8247.00,8441.96,144785.391,2020-01-24 08:00:00
1579910400000,8442.82,8455.00,8272.00,8344.64,96961.714,2020-01-25 08:00:00
1579996800000,8344.37,8624.45,8300.00,8611.21,117898.916,2020-01-26 08:00:00
1580083200000,8611.21,9015.48,8565.00,8913.61,172235.328,2020-01-27 08:00:00
1580169600000,8913.61,9436.06,8905.00,9398.98,244467.546,2020-01-28 08:00:00
1580256000000,9399.72,9460.52,9242.00,9311.00,169460.643,2020-01-29 08:00:00
1580342400000,9311.23,9599.00,9210.42,9525.67,190137.536,2020-01-30 08:00:00
1580428800000,9525.67,9550.72,9220.00,9364.51,146644.026,2020-01-31 08:00:00
1580515200000,9364.50,9477.76,9306.00,9392.74,109040.285,2020-02-01 08:00:00
1580601600000,9392.99,9489.92,9160.01,9338.20,148402.977,2020-02-02 08:00:00
1580688000000,9340.49,9647.61,9250.00,9300.64,159049.385,2020-02-03 08:00:00
1580774400000,9300.63,9368.00,9105.00,9198.35,147843.902,2020-02-04 08:00:00
1580860800000,9198.32,9799.08,9179.88,9630.00,212311.697,2020-02-05 08:00:00
1580947200000,9630.00,9884.00,9550.00,9778.12,200556.367,2020-02-06 08:00:00
1581033600000,9777.97,9900.00,9736.66,9821.52,129740.767,2020-02-07 08:00:00
1581120000000,9821.52,9956.00,9680.55,9906.43,129267.269,2020-02-08 08:00:00
1581206400000,9906.09,10184.34,9892.15,10167.38,143407.013,2020-02-09 08:00:00
1581292800000,10167.37,10213.56,9750.00,9865.56,184242.737,2020-02-10 08:00:00
1581379200000,9865.56,10409.96,9729.36,10229.06,190119.815,2020-02-11 08:00:00
1581465600000,10230.74,10479.98,10229.71,10339.99,159674.258,2020-02-12 08:00:00
1581552000000,10339.64,10540.00,10101.00,10239.63,213052.717,2020-02-13 08:00:00
1581638400000,10240.02,10390.00,10123.37,10356.82,130975.746,2020-02-14 08:00:00
1581724800000,10356.27,10389.75,9752.30,9914.99,152146.127,2020-02-15 08:00:00
1581811200000,9914.31,10060.45,9626.64,9921.86,141547.956,2020-02-16 08:00:00
1581897600000,9921.87,9971.00,9461.89,9716.00,185338.179,2020-02-17 08:00:00
1581984000000,9716.00,10270.00,9598.00,10174.32,166119.369,2020-02-18 08:00:00
1582070400000,10174.53,10286.00,9293.07,9593.65,187495.927,2020-02-19 08:00:00
1582156800000,9593.31,9700.00,9382.59,9601.99,143105.587,2020-02-20 08:00:00
1582243200000,9601.51,9759.59,9547.00,9681.39,98954.288,2020-02-21 08:00:00
1582329600000,9681.39,9710.70,9565.00,9659.20,58419.547,2020-02-22 08:00:00
1582416000000,9658.95,10018.90,9657.00,9943.12,97134.358,2020-02-23 08:00:00
1582502400000,9943.12,10000.00,9487.38,9662.95,157965.671,2020-02-24 08:00:00
1582588800000,9662.88,9686.78,9247.00,9326.00,168641.725,2020-02-25 08:00:00
1582675200000,9326.00,9384.00,8610.00,8792.22,267005.172,2020-02-26 08:00:00
1582761600000,8793.96,8978.00,8533.90,8828.00,200638.488,2020-02-27 08:00:00
1582848000000,8827.12,8908.86,8450.00,8699.57,196066.110,2020-02-28 08:00:00
1582934400000,8699.86,8799.83,8530.00,8531.98,103524.685,2020-02-29 08:00:00
1583020800000,8532.50,8762.24,8409.00,8537.84,174332.916,2020-03-01 08:00:00
1583107200000,8537.84,8972.00,8504.95,8919.70,160294.484,2020-03-02 08:00:00
1583193600000,8919.70,8922.34,8657.41,8765.00,160123.605,2020-03-03 08:00:00
1583280000000,8765.00,8853.88,8669.23,8756.93,105462.120,2020-03-04 08:00:00
1583366400000,8755.98,9172.30,8755.98,9062.81,161840.623,2020-03-05 08:00:00
1583452800000,9062.62,9179.75,8994.14,9139.48,115011.583,2020-03-06 08:00:00
1583539200000,9139.77,9204.00,8850.00,8897.18,125804.999,2020-03-07 08:00:00
1583625600000,8895.62,8897.71,7997.70,8038.46,237407.028,2020-03-08 08:00:00
1583712000000,8038.99,8182.31,7635.21,7932.15,334399.107,2020-03-09 08:00:00
1583798400000,7932.45,8156.31,7733.00,7897.66,257068.702,2020-03-10 08:00:00
1583884800000,7898.21,7988.00,7593.29,7938.39,220537.381,2020-03-11 08:00:00
1583971200000,7938.39,7969.00,4347.00,4764.65,784747.020,2020-03-12 08:00:00
1584057600000,4762.28,5971.00,3621.81,5570.26,935489.242,2020-03-13 08:00:00
1584144000000,5569.84,5638.42,5040.00,5167.01,316242.586,2020-03-14 08:00:00
1584230400000,5167.21,5954.47,5089.12,5357.32,356311.765,2020-03-15 08:00:00
1584316800000,5354.81,5361.26,4413.62,5026.26,621555.792,2020-03-16 08:00:00
1584403200000,5027.11,5529.98,4913.49,5307.38,429908.098,2020-03-17 08:00:00
1584489600000,5306.42,5435.00,4982.75,5389.64,402005.703,2020-03-18 08:00:00
1584576000000,5389.94,6400.00,5246.50,6159.60,499391.190,2020-03-19 08:00:00
1584662400000,6159.41,6911.00,5650.00,6203.77,571898.016,2020-03-20 08:00:00
1584748800000,6204.47,6457.17,5854.01,6183.69,387679.649,2020-03-21 08:00:00
1584835200000,6183.84,6408.91,5730.35,5810.17,391002.795,2020-03-22 08:00:00
1584921600000,5810.30,6619.90,5670.00,6463.84,489746.087,2020-03-23 08:00:00
